station_ad,lat,lon
4·19민주묘지,37.64954,127.01371
가능,37.748362,127.044251
가락시장,37.492661,127.1179895
가산디지털단지,37.480972,126.882666
가양,37.561111,126.855078
가오리,37.64162,127.01681
가재울,37.484152,126.683883
가정,37.524805,126.675387
가정중앙시장,37.517511,126.676784
가좌,37.568611,126.914841
가천대,37.448784,127.126677
가평,37.814515,127.510693
간석,37.464689,126.693408
간석오거리,37.466921,126.707861
갈매,37.634135,127.114803
갈산,37.517124,126.721566
강남,37.49771772,127.02791445
강남구청,37.5168785,127.04139749999999
강남대,37.27017073,127.1260669
강동,37.53581,127.13249
강동구청,37.530348,127.120461
강매,37.612396,126.844537
강변,37.535161,127.094684
강일,37.557521,127.176018
강촌,37.805728,127.634054
개롱,37.498097,127.134817
개봉,37.494698,126.858504
개포동,37.489112,127.066027
개화,37.578611,126.798333
개화산,37.572458,126.806838
거여,37.493208,127.143983
건대입구,37.540645,127.070167
걸포북변,37.631639,126.70575
검단사거리,37.601693,126.656545
검단오류,37.5950162,126.62801
검바위,37.561091,126.677529
검암,37.568883235,126.67460885
경기광주,37.398974,127.253201
경기도청북부청사,37.75073213,127.0714795
경마공원,37.443987,127.007899
경복궁,37.575844,126.973576
경인교대입구,37.538272,126.722603
경전철의정부,37.73729974,127.043321
경찰병원,37.495754,127.124198
계산,37.543243,126.728436
계양,37.571573105,126.736171
고덕,37.555002,127.154214
고려대,37.59034,127.03626
고색,37.249829,126.9805899
고속터미널,37.50475766666667,127.00467166666665
고잔,37.316821,126.823094
고진,37.24463834,127.2141836
고촌,36.418639999999996,127.9654305
곡산,37.645729,126.801877
곤제,37.75054343,127.0838651
곤지암,37.350525,127.346186
공덕,37.5432621375,126.951546525
공릉,37.625642,127.072969
공항시장,37.563611,126.810278
공항화물청사,37.45902611,126.4774333
과천,37.432805,126.996404
관악,37.419578,126.908476
관악산(서울대),37.46916896,126.944954837
광교,37.30173474,127.0448561
광교중앙,37.2884537,127.051609
광나루,37.545301,127.103478
광명,37.415995,126.884523
광명사거리,37.47927,126.854854
광운대,37.623635,127.061975
광화문,37.571645,126.976568
광흥창,37.547464,126.931971
교대,36.245548459999995,128.15569
구래,37.645354,126.6285
구로,37.503178,126.882037
구로디지털단지,37.4852931,126.901456
구룡,37.486985,127.059496
구리,37.60326,127.143373
구반포,37.501389,126.987222
구산,37.611196,126.9172519
구성,37.299013,127.105664
구의,37.537157,127.0862124
구일,37.495973,126.869201
구파발,37.636612,126.918827
국수,37.516171,127.399402
국제업무지구,37.400464,126.630094
국회의사당,37.528611,126.9175
군자,37.557126499999995,127.0795215
군포,37.353732,126.948517
굴봉산,37.832086,127.557732
굴포천,37.50695,126.731481
굽은다리,37.545442,127.142844
귤현,37.566362,126.742498
금곡,36.452372,128.1123955
금릉,37.751295,126.765401
금정,37.371957,126.943511
금천구청,37.45576,126.894344
금촌,37.766106,126.774515
금호,37.548269,127.015785
기흥,37.275554940000006,127.11649525
길동,37.538022,127.140085
길음,37.603387,127.025053
김량장,37.23732377,127.1986109
김유정,37.818475,127.714302
김포공항,37.562153884,126.80206783999999
까치산,37.53221,126.846466
까치울,37.506236,126.81095
낙성대,37.47713,126.963583
남구로,37.486181,126.887372
남동구청,37.448179,126.736581
남부터미널,37.48494,127.016289
남성,37.484688,126.971108
남영,37.540597,126.971171
남위례,37.462839,127.139047
남춘천,37.864071,127.723761
남태령,37.464339,126.989081
남한산성입구,37.451568,127.159845
내방,37.48764,126.993541
노들,37.512726,126.953096
노량진,37.5138695,126.941294
노원,37.655376000000004,127.061869
녹번,37.600882,126.935758
녹사평,37.53469,126.98665
녹양,37.759416,127.042272
녹천,37.644599,127.051406
논현,37.51095975,127.0213754
능곡,37.618741,126.820845
단대오거리,37.445057,127.156735
달미,37.3490003,126.809318
달월,37.379993,126.745431
답십리,37.566833,127.05266
당곡,37.490039105,126.927568759
당산,37.5343255,126.90241649999999
당정,37.34338,126.948388
대곡,37.1761145,127.2359055
대공원,37.435724,127.006474
대림,37.4931333,126.89598815
대모산입구,37.491347,127.072702
대방,37.513116083,126.9258618905
대성리,37.683909,127.379165
대야미,37.328304,126.917161
대청,37.493607,127.079526
대치,37.494601,127.063449
대화,37.675883,126.747756
대흥,37.547732,126.942214
덕계,37.818761,127.056676
덕소,37.586892,127.208835
덕정,37.843216,127.061511
도곡,37.4910215,127.0555435
도농,37.608756,127.161105
도림천,37.5145589,126.882586
도봉,37.679441,127.045521
도봉산,37.689367000000004,127.04629750000001
도심,37.579628,127.222798
도원,37.468604,126.642824
도화,37.466154,126.66846
독립문,37.574534,126.957902
독바위,37.618413,126.933035
독산,37.465994,126.889508
독정,37.584927,126.675981
돌곶이,37.610522,127.056419
동대문,37.571318000000005,127.00997
동대입구,37.55906,127.005273
동두천,37.927569,127.054825
동두천중앙,37.901818,127.056528
동막,37.398173,126.673561
동묘앞,37.57277,127.0160625
동백,36.21528569,128.1502888
동수,37.485409,126.718464
동암,37.470835,126.703016
동오,37.74519123,127.05703
동인천,37.475414,126.632598
동작,37.5032225,126.9792245
동천,36.6378874965,127.82978835
동춘,37.404676,126.680835
두정,36.833791,127.148905
둔전,37.26721222,127.2136387
둔촌동,37.527787,127.136219
둔촌오륜,37.519339,127.138619
등촌,37.551111,126.864722
디지털미디어시티,37.57713316666667,126.89992966666667
뚝섬,37.54718,127.047413
마곡,37.55865,126.837693
마곡나루,37.56626807,126.82762145
마두,37.652185,126.777641
마들,37.664985,127.057701
마산,37.640606,126.643944
마석,37.652328,127.311713
마장,37.566066,127.042921
마전,37.597756,126.667195
마천,37.494972,127.152784
마포,37.539718,126.946043
마포구청,37.563529,126.903356
만수,37.454962,126.731764
망우,37.599638,127.0921745
망원,37.556031,126.910129
망월사,37.710499,127.047361
망포,37.245793,127.057367
매교,37.265502,127.015657
매봉,37.487114,127.046907
매탄권선,37.252458,127.040824
먹골,37.610638,127.077719
면목,37.588671,127.087503
명동,37.560955,126.986271
명일,37.551317,127.144002
명지대,37.23807629,127.1902913
명학,37.384435,126.935579
모란,37.433056,127.1294925
모래내시장,37.455842,126.719578
목동,37.526088,126.864296
몽촌토성,37.517692,127.11274
무악재,37.582658,126.950131
문래,37.517993,126.894766
문산,37.854565,126.787531
문정,37.485931,127.122473
문학경기장,37.434964,126.698373
문화공원동대문역사,37.565144,127.007407
미금,37.35033066,127.10887740000001
미사,37.56309,127.192954
미아,37.626435,127.026151
미아사거리,37.613276,127.030083
박촌,37.553525,126.744946
반월,37.312244,126.903684
반포,37.508171,127.011717
발곡,37.726983,127.052889
발산,37.562182,126.82693
방배,37.481469,126.997627
방이,37.508752,127.126054
방학,37.667471,127.044295
방화,37.577669,126.812822
배방,36.777541,127.052751
백마,37.658346,126.794401
백석,37.642973,126.788109
백양리,37.830881,127.589085
백운,37.483301,126.707179
버티고개,37.547933,127.006948
범계,37.389783,126.950752
범골,37.7287279,127.0437202
별내,37.642369,127.127254
별내별가람,37.667833,127.116167
병점,37.206821,127.033268
보라매,37.5001143545,126.92029893200001
보라매공원,37.495225405,126.918258811
보라매병원,37.4929607,126.923886
보문,37.5854015,127.0193835
보산,37.914268,127.057134
보정,37.31274,127.108219
보평,37.25896427,127.2184808
복정,37.470384499999994,127.1266865
봉명,36.801578,127.136319
봉은사,37.514219,127.060245
봉천,37.482416,126.941696
봉화산,37.617429,127.0912326
부개,37.488479,126.740549
부발,37.260411,127.490303
부천,37.484066,126.782779
부천시청,37.504611,126.763561
부천종합운동장,37.5056165,126.797424
부평,37.489999,126.72401049999999
부평구청,37.5081455,126.7209515
부평삼거리,37.478267,126.710494
부평시장,37.498495,126.722282
북한산보국문,37.61233,127.00816
북한산우이,37.66284,127.01272
불광,37.6105365,126.9298435
불암산,37.67009,127.079004
사가정,37.580912,127.088502
사당,37.4763995,126.98163349999999
사릉,37.651145,127.176839
사리,37.290809,126.857172
사우,37.620361,126.719722
사평,37.504161,127.015219
산곡,37.508547,126.70351
산본,37.358019,126.932969
산성,37.456886,127.149927
삼가,37.24205993,127.16818
삼각지,37.53501,126.973494
삼거리신대방,37.499717,126.928218
삼동,37.408731,127.203447
삼산체육관,37.506431,126.742081
삼성,37.508827,127.063203
삼성중앙,37.513011,127.053282
삼송,37.653096,126.895559
삼양,37.62706,127.01817
삼양사거리,37.62144,127.02049
삼전,37.504531,127.087211
상갈,37.261797,127.108718
상계,37.660576,127.073199
상도,37.50279,126.947949
상동,37.505769,126.753081
상록수,37.302845,126.866533
상봉,37.5962135,127.08563050000001
상수,37.547704,126.92292
상왕십리,37.564444,127.029322
상월곡,37.606392,127.048509
상일동,37.556714,127.166381
상천,37.770305,127.4542
상현,37.29808526,127.0694799
새말,37.74889941,127.063869
새절,37.591148,126.913613
샛강,37.5172599685,126.928901982
서강대,37.552132,126.935389
서구청,37.543839,126.676795
서대문,37.565812,126.966639
서동탄,37.195675,127.051893
서부여성회관,37.500298,126.675875
서빙고,37.51961,126.988358
서울대벤처타운,37.47204068,126.933976556
서울대입구,37.481233,126.952745
서울숲,37.543647,127.044686
서울역,37.555245000000006,126.97206533333333
서울지방병무청,37.50604687,126.922783404
서원,37.47827336,126.933228219
서정리,37.056459,127.052844
서초,37.49191,127.007685
서현,37.384931,127.123249
석계,37.6150715,127.065758
석남,37.5067095,126.6762585
석바위시장,37.457659,126.692387
석수,37.435161,126.902233
석천사거리,37.4569323,126.710383
석촌,37.505236999999994,127.10696949999999
석촌고분,37.502439,127.096611
선릉,37.504478000000006,127.0489575
선바위,37.451854,127.002164
선부,37.33459,126.81
선유도,37.537778,126.893889
선정릉,37.5105275,127.04373815
선학,37.426985,126.698872
성균관대,37.300344,126.970861
성복,37.31374251,127.08057578
성수,37.544628,127.055983
성신여대입구,37.592676,127.016734
성환,36.915781,127.127007
세류,37.244102,127.013772
세마,37.187288,127.043279
세종대왕릉,37.293636,127.570764
센트럴파크,37.392833,126.635002
소래포구,37.400963,126.733533
소사,37.482755,126.7953597
소새울,37.4685046,126.797228
소요산,37.948608,127.061007
솔밭공원,37.65607,127.01326
솔샘,37.62037,127.01357
송내,37.487626,126.753045
송도,37.429714,126.654486
송도달빛축제공원,37.40687495,126.6260537
송산,37.7371698,127.0872755
송정,36.3745165,128.0070605
송탄,37.075376,127.054397
송파,37.49978,127.11212
송파나루,37.51055,127.112451
수내,37.378435,127.114216
수락산,37.677804,127.055314
수리산,37.350297,126.925537
수색,37.580855,126.895681
수서,37.4875665,127.10152099999999
수원,37.266162,126.99995150000001
수원시청,37.261941,127.030736
수유,37.637727,127.025371
수지구청,37.32250096,127.09477813
수진,37.437575,127.140936
숙대입구,37.5447834,126.9721
숭실대입구,37.496258,126.953649
숭의,37.460891,126.638035
시민공원,37.458339,126.6810091
시우,37.3130967,126.795503
시청,36.6650345,127.60397175
시청·용인대,37.23944203,127.1788851
시흥능곡,37.3699903,126.808594
시흥대야,37.4504787,126.793142
시흥시청,37.3814109,126.805946
신갈,37.286127,127.111311
신금호,37.554504,127.020403
신길,37.517324,126.9163145
신내,37.612713,127.1038015
신논현,37.504249715,127.0245738
신답,37.569847,127.047048
신당,37.565924499999994,127.01779195
신대방,37.487604,126.913479
신도림,37.508899,126.8913675
신둔도예촌,37.315499,127.405251
신림,37.484553377500006,126.92959146000001
신목동,37.544167,126.883056
신반포,37.505933,127.004044
신방화,37.5675,126.816667
신사,37.51628163,127.02000394999999
신설동,37.575786666666666,127.024363
신연수,37.418032,126.693853
신용산,37.52919,126.96858
신원,37.525921,127.372745
신이문,37.601829,127.067347
신정,37.525001,126.856176
신정네거리,37.520218,126.852849
신중동,37.503081,126.776161
신창,36.769213,126.950129
신천,36.65682085,127.7020395
신촌,37.5574605,126.939599
신포,37.468442,126.624509
신풍,37.500107,126.909806
신현,37.4091399,126.78788
신흥,36.880302,127.298191
쌍문,37.648274,127.034381
쌍용,36.793745,127.121363
아산,36.792195,127.104384
아시아드경기장,37.551373,126.677075
아신,37.513954,127.443238
아차산,37.552005,127.089609
아현,37.557407,126.956079
안국,37.576562,126.98547
안산,37.327006,126.788748
안암,37.586261,127.02903
안양,37.401929,126.922647
암사,37.550127,127.127521
압구정,37.526169,127.028502
압구정로데오,37.527385,127.040555
애오개,37.553592,126.956733
야당,37.712749,126.761535
야목,37.261211,126.884029
야탑,37.41132,127.128661
약수,37.5543205,127.0105475
양수,37.545998,127.328948
양원,36.963729,129.091321
양재,37.484516760000005,127.03416475
양재시민의숲,37.47096388,127.0384203
양정,36.3886545,128.13289600000002
양주,37.774281,127.044719
양천구청,37.5123294,126.865593
양천향교,37.568333,126.841389
양촌,37.641639,126.614694
양평,37.509144,127.1890175
어룡,37.74272184,127.0852045
어린이대공원,37.547962,127.07465
어정,37.27495132,127.1437499
어천,37.250076,126.908805
언주,37.507287,127.033868
여의나루,37.527045,126.932807
여의도,37.521710999999996,126.92424249999999
여주,37.282881,127.628571
역곡,37.48514,126.811622
역삼,37.500658,127.03643
역촌,37.60605,126.922764
연수,37.417769,126.678991
연신내,37.618888999999996,126.920681
염창,37.546944,126.874722
영등포,37.515756,126.907411
영등포구청,37.524987499999995,126.8958245
영등포시장,37.52276,126.905143
영종,37.51209814,126.5242471
영통,37.251521,127.071341
예술회관,37.449334,126.700991
오금,37.502258,127.1280225
오남,37.7054056,127.191644
오류동,37.4944,126.844551
오리,37.339832,127.108985
오목교,37.524557,126.875049
오목천,37.243011,126.9636354
오빈,37.506061,127.474053
오산,37.145472,127.066708
오산대,37.169401,127.063081
오이도,37.361773,126.738437
옥수,37.5410835,127.0180005
온수,37.492163,126.8233465
온양온천,36.780419,127.003707
올림픽공원,37.516164,127.13064499999999
완정,37.592867,126.672961
왕길,37.5950191,126.642284
왕십리,37.56149995,127.037858875
외대앞,37.596157,127.063572
용답,37.562066,127.05087863
용두,37.574012,127.03811
용마산,37.573752,127.086802
용문,36.9101685,127.493784
용산,36.969633333333334,127.4861062
용인중앙시장,37.2379113,127.2090526
우장산,37.548864,126.83633
운길산,37.554659,127.310089
운서,37.49284463,126.4936619
운양,37.653861,126.683833
운연,37.439533,126.759609
운정,37.725441000000004,126.767076
원당,37.653103,126.842891
원덕,37.468585,127.547468
원시,37.302654,126.7867897
원인재,37.4126425,126.6874225
원흥,37.650709,126.873239
월계,37.633114,127.058835
월곡,37.60192,127.041492
월곶,37.39189,126.742741
월드컵경기장,36.968132,127.108468
월롱,37.796201,126.792574
을지로3가,37.566295499999995,126.9917445
을지로4가,37.5669455,126.9978745
을지로입구,37.565998,126.982569
응봉,37.550433,127.034824
응암,37.59859,126.915583
의왕,37.320648,126.948099
의정부,37.73873,127.045891
의정부시청,37.73924874,127.034854
의정부중앙,37.74371903,127.0496332
이대,37.556734,126.945897
이매,37.395291,127.12765999999999
이천,37.264222,127.442135
이촌,37.525833,126.97089890000001
이태원,37.534485,126.994369
인더스파크남동,37.407668,126.695613
인덕원,37.401901,126.976718
인천,37.476364,126.6171798
인천가좌,37.489962,126.675284
인천공항1터미널,37.44760672,126.4523433
인천공항2터미널,37.46866,126.433415
인천논현,37.400641,126.722495
인천대공원,37.448475,126.753051
인천대입구,37.386239,126.639351
인천시청,37.4572595,126.7018695
인천터미널,37.441917,126.699727
인하대,37.448191,126.649832
일산,37.682231,126.769521
일원,37.48389,127.08416
임진강,37.888364,126.746777
임학,37.545058,126.738642
자양,37.531558,127.066714
작전,37.530271,126.722548
잠실,37.513977,127.10219799999999
잠실나루,37.520688,127.103836
잠실새내,37.511653,127.086224
